miRNA,mRNA_gene,interaction
hsa-miR-125b-5p,KRAS,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-21-5p,PTEN,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-21-5p,PTEN,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-21-5p,PTEN,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-21-5p,PTEN,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-21-5p,PTEN,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-21-5p,PTEN,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-21-5p,PTEN,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-21-5p,PTEN,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-21-5p,PTEN,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-21-5p,PTEN,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-21-5p,PTEN,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-21-5p,PTEN,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-21-5p,PTEN,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-21-5p,PTEN,0
hsa-miR-21-5p,PTEN,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-21-5p,PTEN,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-21-5p,PTEN,0
hsa-miR-21-5p,PTEN,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-21-5p,PTEN,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-21-5p,PTEN,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-21-5p,PTEN,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-21-5p,PTEN,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-21-5p,PTEN,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-21-5p,PTEN,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-200c-3p,NOTCH1,0
